"t","x1","x2","x3","u"
"0.89","-0.5112431","0.68348354","1.1039873","0.9590773"
"0.9","-0.511183","0.6783714","1.1204759","0.96515924"
"0.91","-0.5110449","0.67325974","1.1370147","0.9705414"
"0.92","-0.5108342","0.6681496","1.1535912","0.9752353"
"0.93","-0.51055676","0.6630417","1.1701927","0.979271"
"0.94","-0.5102188","0.65793693","1.1868063","0.98269266"
"0.95","-0.5098268","0.6528356","1.2034185","0.98555654"
"0.96","-0.5093877","0.64773816","1.2200153","0.98792464"
"0.97","-0.508909","0.64264566","1.2365794","0.9898611"
"0.98","-0.50839823","0.6375586","1.2530946","0.9914294"
"0.99","-0.50786036","0.6324772","1.2695503","0.99268883"
"1.0","-0.50729203","0.6274015","1.2859541","0.9936934"
"1.01","-0.50669354","0.62233156","1.3023045","0.9944888"
"1.02","-0.5060655","0.6172677","1.3185998","0.9951126"
"1.03","-0.5054083","0.61221033","1.3348385","0.995596"
"1.04","-0.50472254","0.6071596","1.3510185","0.9959639"
"1.05","-0.5040086","0.6021159","1.3671387","0.99623555"
"1.06","-0.5032669","0.5970795","1.3831974","0.9964264"
"1.07","-0.5024978","0.59205055","1.3991934","0.9965473"
"1.08","-0.50170165","0.58702946","1.4151253","0.9966063"
"1.09","-0.5008788","0.5820165","1.4309914","0.99660915"
"1.1","-0.50002956","0.5770119","1.4467908","0.99655956"
"1.11","-0.4991541","0.5720159","1.4625227","0.99645907"
"1.12","-0.4982527","0.5670288","1.4781855","0.9963084"
"1.13","-0.49732548","0.56205094","1.4937786","0.9961067"
"1.14","-0.49637267","0.55708253","1.5093007","0.99585253"
"1.15","-0.49539432","0.5521236","1.5247519","0.99554414"
"1.16","-0.49439058","0.5471749","1.54013","0.9951789"
"1.17","-0.49336138","0.542236","1.555436","0.99475425"
"1.18","-0.49230692","0.53730774","1.5706677","0.9942675"
"1.19","-0.49122706","0.5323901","1.5858254","0.9937164"
"1.2","-0.49012175","0.5274832","1.6009091","0.9930987"
"1.21","-0.48899102","0.52258784","1.6159168","0.99241287"
"1.22","-0.48783508","0.5177036","1.6308489","0.9916579"
"1.23","-0.4866554","0.5128311","1.6457013","0.99083394"
"1.24","-0.4854521","0.50797045","1.6604735","0.9899412"
"1.25","-0.48422506","0.503122","1.6751649","0.9889813"
"1.26","-0.4829743","0.4982859","1.6897753","0.98795563"
"1.27","-0.4816997","0.49346235","1.7043042","0.986867"
"1.28","-0.48040125","0.4886517","1.7187513","0.9857181"
"1.29","-0.47907883","0.48385412","1.7331161","0.9845124"
"1.3","-0.47773242","0.4790699","1.7473984","0.98325354"
"1.31","-0.4763619","0.47429922","1.7615978","0.9819452"
"1.32","-0.4749672","0.46954235","1.7757139","0.98059136"
"1.33","-0.47354826","0.46479952","1.7897466","0.9791959"
"1.34","-0.47210503","0.4600711","1.8036952","0.9777624"
"1.35","-0.47063735","0.45535722","1.8175596","0.97629434"
"1.36","-0.46914515","0.45065814","1.8313397","0.9747949"
"1.37","-0.46762836","0.4459741","1.8450352","0.9732669"
"1.38","-0.46608686","0.44130537","1.8586458","0.9717129"
"1.39","-0.46452054","0.43665215","1.8721714","0.97013503"
"1.4","-0.46292934","0.43201476","1.8856115","0.968535"
"1.41","-0.4613132","0.4273936","1.8989657","0.96691436"
"1.42","-0.45967185","0.4227886","1.9122344","0.9652738"
"1.43","-0.45800522","0.41820008","1.9254178","0.96361417"
"1.44","-0.45631334","0.41362858","1.9385144","0.9619356"
"1.45","-0.4545959","0.4090739","1.9515254","0.96023816"
"1.46","-0.45285296","0.40453684","1.9644492","0.95852166"
"1.47","-0.45108417","0.40001705","1.9772877","0.95678514"
"1.48","-0.44928968","0.39551544","1.9900385","0.955028"
"1.49","-0.4474691","0.39103174","2.0027034","0.9532489"
"1.5","-0.44562238","0.38656637","2.0152814","0.95144695"
"1.51","-0.44374943","0.38211966","2.027773","0.9496203"
"1.52","-0.44185004","0.3776918","2.0401776","0.9477672"
"1.53","-0.4399241","0.37328306","2.0524955","0.94588643"
"1.54","-0.43797165","0.3688941","2.0647254","0.9439754"
"1.55","-0.43599215","0.36452442","2.0768695","0.9420324"
"1.56","-0.4339856","0.3601747","2.088927","0.9400547"
"1.57","-0.43195188","0.355845","2.1008976","0.9380407"
"1.58","-0.42989087","0.35153598","2.1127813","0.9359879"
"1.59","-0.42780235","0.34724772","2.124578","0.9338934"
"1.6","-0.4256863","0.34298062","2.136288","0.9317551"
"1.61","-0.42354208","0.33873418","2.1479125","0.9295699"
"1.62","-0.42137003","0.3345096","2.1594498","0.92733544"
"1.63","-0.41917017","0.33030683","2.1709003","0.92504936"
"1.64","-0.416943","0.3261261","2.1822631","0.92270905"
"1.65","-0.41468883","0.32196775","2.1935372","0.92031235"
"1.66","-0.412408","0.31783202","2.204722","0.91785675"
"1.67","-0.41010085","0.31371924","2.2158158","0.9153399"
"1.68","-0.40776783","0.30962965","2.2268183","0.91275924"
"1.69","-0.40540925","0.3055635","2.2377288","0.9101122"
"1.7","-0.40302566","0.3015212","2.248546","0.907397"
"1.71","-0.40061742","0.29750285","2.259269","0.9046107"
"1.72","-0.39818507","0.29350877","2.269897","0.9017511"
"1.73","-0.3957291","0.28953922","2.2804291","0.89881617"
"1.74","-0.39325002","0.28559437","2.2908647","0.89580375"
"1.75","-0.3907484","0.2816745","2.3012028","0.89271134"
"1.76","-0.38822478","0.2777798","2.3114424","0.8895368"
"1.77","-0.38567984","0.27391055","2.3215826","0.88627845"
"1.78","-0.38311407","0.2700668","2.3316226","0.88293403"
"1.79","-0.38052818","0.26624888","2.341562","0.87950164"
"1.8","-0.37792283","0.26245695","2.3513994","0.8759795"
"1.81","-0.37529877","0.25869122","2.3611343","0.87236637"
"1.82","-0.37265652","0.25495172","2.3707662","0.8686597"
"1.83","-0.3699971","0.25123885","2.3802934","0.8648589"
"1.84","-0.367321","0.24755257","2.3897157","0.860962"
"1.85","-0.36462918","0.2438932","2.399032","0.8569687"
"1.86","-0.36192238","0.24026076","2.4082422","0.85287684"
"1.87","-0.35920128","0.2366553","2.417345","0.8486857"
"1.88","-0.35646704","0.2330772","2.4263394","0.84439546"
"1.89","-0.35372016","0.22952628","2.4352255","0.8400046"
"1.9","-0.35096195","0.22600302","2.4440012","0.8355132"
"1.91","-0.3481931","0.22250737","2.4526668","0.83092064"
"1.92","-0.34541455","0.21903934","2.4612212","0.8262276"
"1.93","-0.34262726","0.21559906","2.4696636","0.8214337"
"1.94","-0.33983225","0.2121866","2.4779937","0.81654006"
"1.95","-0.33703038","0.20880197","2.4862106","0.81154627"
"1.96","-0.33422297","0.20544547","2.494313","0.80645424"
"1.97","-0.3314108","0.20211686","2.5023012","0.8012646"
"1.98","-0.3285953","0.19881661","2.5101733","0.79597956"
"1.99","-0.32577735","0.19554453","2.5179293","0.7905999"
"2.0","-0.32295796","0.19230051","2.5255685","0.7851277"
"2.01","-0.32013834","0.18908462","2.5330906","0.77956563"
"2.02","-0.3173199","0.18589722","2.540494","0.7739158"
"2.03","-0.3145036","0.18273804","2.5477784","0.7681814"
"2.04","-0.31169033","0.17960677","2.554944","0.7623642"
"2.05","-0.3088812","0.17650434","2.5619884","0.75646704"
"2.06","-0.30607677","0.17343034","2.568912","0.7504932"
"2.07","-0.303278","0.17038463","2.5757158","0.7444449"
"2.08","-0.3004858","0.16736709","2.5824006","0.73832554"
"2.09","-0.297701","0.16437757","2.5889668","0.73213845"
"2.1","-0.29492453","0.16141593","2.5954154","0.725887"
"2.11","-0.29215717","0.15848206","2.6017468","0.719575"
"2.12","-0.28939974","0.15557581","2.607962","0.7132061"
"2.13","-0.2866529","0.15269695","2.6140616","0.7067837"
"2.14","-0.28391758","0.1498455","2.6200466","0.7003117"
"2.15","-0.28119442","0.14702122","2.6259177","0.69379425"
"2.16","-0.27848408","0.14422399","2.6316757","0.6872356"
"2.17","-0.27578723","0.14145362","2.637322","0.6806386"
"2.18","-0.27310452","0.13870999","2.6428568","0.6740083"
"2.19","-0.27043656","0.13599294","2.6482813","0.6673482"
"2.2","-0.26778394","0.13330232","2.6535969","0.66066235"
"2.21","-0.26514715","0.13063793","2.658804","0.65395516"
"2.22","-0.26252678","0.12799965","2.663904","0.6472294"
"2.23","-0.2599233","0.1253873","2.6688979","0.64049095"
"2.24","-0.2573372","0.12280073","2.6737864","0.633742"
"2.25","-0.25476897","0.12023978","2.678571","0.6269876"
"2.26","-0.2522189","0.11770426","2.6832528","0.6202299"
"2.27","-0.24968748","0.11519398","2.6878328","0.6134745"
"2.28","-0.24717502","0.11270878","2.6923125","0.6067237"
"2.29","-0.24468204","0.11024861","2.6966927","0.59998226"
"2.3","-0.24220853","0.107813075","2.7009747","0.5932529"
"2.31","-0.23975493","0.10540209","2.7051601","0.58653843"
"2.32","-0.2373216","0.103015564","2.70925","0.57984275"
"2.33","-0.23490854","0.10065314","2.7132456","0.57316905"
"2.34","-0.23251615","0.098314814","2.717148","0.5665195"
"2.35","-0.23014455","0.0960003","2.7209594","0.55989796"
"2.36","-0.22779374","0.0937093","2.7246804","0.5533068"
"2.37","-0.22546414","0.09144192","2.7283127","0.5467487"
"2.38","-0.22315559","0.08919773","2.7318578","0.54022557"
"2.39","-0.22086817","0.08697656","2.7353172","0.5337402"
"2.4","-0.21860203","0.08477829","2.7386923","0.52729434"
"2.41","-0.21635698","0.082602546","2.7419846","0.52088946"
"2.42","-0.21413334","0.080449454","2.7451956","0.51452976"
"2.43","-0.21193083","0.07831855","2.748327","0.5082143"
"2.44","-0.20974928","0.07620962","2.7513804","0.50194573"
"2.45","-0.20758888","0.07412262","2.7543576","0.4957257"
"2.46","-0.20544912","0.07205706","2.75726","0.48955435"
"2.47","-0.20333062","0.07001344","2.7600887","0.48343563"
"2.48","-0.20123212","0.06799052","2.762847","0.47736633"
"2.49","-0.19915411","0.065988734","2.765535","0.4713499"
"2.5","-0.19709639","0.06400789","2.7681553","0.46538728"
"2.51","-0.19505806","0.062047213","2.7707102","0.45947635"
"2.52","-0.1930397","0.06010725","2.7732","0.45362103"
"2.53","-0.19104037","0.058187217","2.7756279","0.44781917"
"2.54","-0.1890597","0.056286883","2.7779953","0.4420712"
"2.55","-0.18709789","0.054406527","2.780304","0.43637824"
"2.56","-0.18515395","0.052545354","2.782556","0.43073863"
"2.57","-0.18322787","0.050703425","2.784753","0.42515367"
"2.58","-0.1813203","0.04888071","2.7868943","0.41962504"
"2.59","-0.1794311","0.04707699","2.788981","0.41415352"
"2.6","-0.17756002","0.04529208","2.7910142","0.40873933"
"2.61","-0.1757068","0.043525804","2.7929952","0.40338194"
"2.62","-0.1738712","0.041777976","2.7949252","0.39808112"
"2.63","-0.17205292","0.04004839","2.7968056","0.3928374"
"2.64","-0.17025179","0.038336948","2.7986372","0.38764983"
"2.65","-0.16846752","0.036643445","2.8004212","0.38251853"
"2.66","-0.16669989","0.034967717","2.802159","0.37744397"
"2.67","-0.1649486","0.033309568","2.8038518","0.37242478"
"2.68","-0.16321348","0.031668864","2.8055003","0.36746114"
"2.69","-0.16149426","0.030045442","2.8071055","0.3625524"
"2.7","-0.1597907","0.028439125","2.808669","0.35769856"
"2.71","-0.15810256","0.026849773","2.8101914","0.35289925"
"2.72","-0.15642962","0.025277212","2.8116739","0.3481537"
"2.73","-0.15477166","0.023721315","2.8131175","0.3434618"
"2.74","-0.15312843","0.022181902","2.814523","0.33882332"
"2.75","-0.15149976","0.02065888","2.8158915","0.3342377"
"2.76","-0.14988534","0.019152027","2.8172238","0.32970375"
"2.77","-0.148285","0.017661242","2.818521","0.32522207"
"2.78","-0.14669853","0.016186394","2.8197842","0.32079124"
"2.79","-0.14512569","0.014727323","2.8210137","0.31641144"
"2.8","-0.14356627","0.0132839","2.8222106","0.31208134"
"2.81","-0.14202005","0.011855987","2.823376","0.30780154"
"2.82","-0.14048687","0.010443487","2.8245103","0.30357063"
"2.83","-0.13896647","0.009046226","2.8256147","0.29938865"
"2.84","-0.13745864","0.007664066","2.8266897","0.29525417"
"2.85","-0.13596319","0.0062968996","2.8277364","0.29116726"
"2.86","-0.13447993","0.004944636","2.828755","0.28712714"
"2.87","-0.1330087","0.0036071702","2.8297465","0.2831337"
"2.88","-0.13154922","0.0022843156","2.8307118","0.2791863"
"2.89","-0.13010132","0.0009759582","2.8316514","0.27528346"
"2.9","-0.12866478","-0.00031800361","2.8325658","0.27142537"
"2.91","-0.12723951","-0.0015976221","2.833456","0.2676118"
"2.92","-0.12582526","-0.0028630379","2.8343222","0.26384115"
"2.93","-0.12442182","-0.0041143848","2.8351655","0.26011395"
"2.94","-0.123028986","-0.0053517837","2.8359861","0.2564286"
"2.95","-0.12164665","-0.006575271","2.8367846","0.25278544"
"2.96","-0.12027465","-0.007784964","2.8375618","0.24918288"
"2.97","-0.11891286","-0.008980856","2.8383179","0.24562216"
"2.98","-0.11756084","-0.010163301","2.8390536","0.24210012"
"2.99","-0.11621853","-0.011332311","2.8397694","0.23861796"
"3.0","-0.11488583","-0.012487879","2.8404655","0.23517448"
"3.01","-0.11356247","-0.013630199","2.841143","0.23177034"
"3.02","-0.11224846","-0.014759244","2.8418021","0.22840261"
"3.03","-0.11094354","-0.01587519","2.842444","0.22507274"
"3.04","-0.10964759","-0.016978124","2.8430681","0.22178"
"3.05","-0.10836044","-0.018068133","2.8436759","0.21852314"
"3.06","-0.10708197","-0.019145302","2.844267","0.21530229"
"3.07","-0.10581205","-0.020209717","2.844842","0.21211725"
"3.08","-0.10455054","-0.021261457","2.8454013","0.20896661"
"3.09","-0.10329729","-0.022300614","2.8459454","0.20585018"
"3.1","-0.10205221","-0.023327254","2.8464744","0.20276791"
"3.11","-0.10081514","-0.024341475","2.8469892","0.19971815"
"3.12","-0.099585965","-0.025343345","2.8474894","0.19670239"
"3.13","-0.098364525","-0.026332973","2.847976","0.19371873"
"3.14","-0.09715078","-0.02731038","2.848449","0.19076735"
"3.15","-0.09594454","-0.028275682","2.848909","0.18784729"
"3.16","-0.09474573","-0.029228939","2.849356","0.18495885"
"3.17","-0.09355421","-0.03017023","2.8497906","0.18210039"
"3.18","-0.09236987","-0.031099642","2.850213","0.17927316"
"3.19","-0.09119261","-0.032017227","2.8506236","0.17647508"
"3.2","-0.09002231","-0.032923065","2.8510227","0.17370704"
"3.21","-0.08885885","-0.03381724","2.8514106","0.17096725"
"3.22","-0.08770216","-0.03469981","2.8517876","0.16825658"
"3.23","-0.086552106","-0.03557083","2.8521538","0.16557413"
"3.24","-0.085408606","-0.0364304","2.8525097","0.16291958"
"3.25","-0.08427153","-0.03727856","2.8528557","0.1602928"
"3.26","-0.08314081","-0.0381154","2.853192","0.15769264"
"3.27","-0.08201632","-0.038940977","2.8535187","0.15511942"
"3.28","-0.08089805","-0.03975532","2.8538363","0.15257278"
"3.29","-0.07978576","-0.040558565","2.8541448","0.15005171"
"3.3","-0.07867949","-0.041350707","2.8544445","0.14755651"
"3.31","-0.07757913","-0.042131823","2.854736","0.14508703"
"3.32","-0.076484576","-0.042901997","2.855019","0.14264196"
"3.33","-0.0753957","-0.043661278","2.8552945","0.1402219"
"3.34","-0.07431254","-0.044409696","2.855562","0.13782546"
"3.35","-0.07323489","-0.045147344","2.8558218","0.13545391"
"3.36","-0.072162695","-0.0458743","2.8560746","0.13310552"
"3.37","-0.07109591","-0.046590574","2.8563204","0.13078031"
"3.38","-0.07003451","-0.04729622","2.8565593","0.12847883"
"3.39","-0.06897837","-0.047991302","2.8567915","0.12619936"
"3.4","-0.06792738","-0.048675902","2.8570173","0.123942584"
"3.41","-0.06688157","-0.049350027","2.8572369","0.12170851"
"3.42","-0.06584074","-0.05001377","2.8574502","0.11949599"
"3.43","-0.06480502","-0.05066712","2.857658","0.11730495"
"3.44","-0.06377424","-0.051310156","2.8578598","0.11513549"
"3.45","-0.06274822","-0.05194299","2.858056","0.112986416"
"3.46","-0.06172717","-0.05256555","2.8582473","0.110859305"
"3.47","-0.060710713","-0.053178024","2.858433","0.1087521"
"3.48","-0.059699096","-0.05378033","2.858614","0.10666552"
"3.49","-0.05869207","-0.05437257","2.85879","0.10459858"
"3.5","-0.057689793","-0.054954734","2.858961","0.10255256"
"3.51","-0.056691993","-0.05552695","2.8591275","0.10052523"
"3.52","-0.055698667","-0.056089234","2.8592896","0.09851709"
"3.53","-0.05470977","-0.056641623","2.8594475","0.09652889"
"3.54","-0.05372564","-0.057184003","2.859601","0.09455988"
"3.55","-0.052745614","-0.057716694","2.8597505","0.09260899"
"3.56","-0.051769882","-0.05823961","2.859896","0.090676665"
"3.57","-0.050798673","-0.058752682","2.8600373","0.08876285"
"3.58","-0.049831834","-0.059256002","2.8601751","0.08686772"
"3.59","-0.048868943","-0.059749767","2.8603091","0.084989786"
"3.6","-0.047910467","-0.060233813","2.8604395","0.08312988"
"3.61","-0.046956293","-0.060708184","2.8605664","0.08128774"
"3.62","-0.046006083","-0.061173078","2.8606899","0.07946262"
"3.63","-0.045060057","-0.061628424","2.86081","0.07765499"
"3.64","-0.044118088","-0.06207433","2.860927","0.075864404"
"3.65","-0.04318012","-0.06251084","2.8610415","0.07409066"
"3.66","-0.04224613","-0.062938","2.861153","0.07233301"
"3.67","-0.041316085","-0.06335584","2.8612614","0.070592076"
"3.68","-0.040389966","-0.06376441","2.8613675","0.068867266"
"3.69","-0.039467745","-0.06416373","2.8614707","0.06715906"
"3.7","-0.038549393","-0.06455385","2.8615716","0.06546581"
"3.71","-0.03763489","-0.0649348","2.86167","0.06378868"
"3.72","-0.03672422","-0.065306626","2.861766","0.062127292"
"3.73","-0.035817355","-0.06566936","2.86186","0.06048131"
"3.74","-0.034914266","-0.066023044","2.8619516","0.058850795"
"3.75","-0.034014937","-0.06636771","2.8620412","0.057234913"
"3.76","-0.033119358","-0.06670339","2.8621287","0.05563417"
"3.77","-0.032227483","-0.06703013","2.8622143","0.05404845"
"3.78","-0.031339306","-0.067347966","2.862298","0.05247739"
"3.79","-0.030454818","-0.067656934","2.86238","0.050920516"
"3.8","-0.029573997","-0.06795707","2.8624601","0.049378246"
"3.81","-0.028696809","-0.06824841","2.8625386","0.047850132"
"3.82","-0.02782325","-0.06853099","2.8626156","0.046336174"
"3.83","-0.026953312","-0.06880485","2.862691","0.044836134"
"3.84","-0.026086984","-0.06907002","2.8627648","0.04335022"
"3.85","-0.025224201","-0.06932654","2.8628373","0.041877747"
"3.86","-0.024365023","-0.06957445","2.8629084","0.04041922"
"3.87","-0.023509363","-0.06981378","2.8629785","0.03897372"
"3.88","-0.022657257","-0.07004458","2.8630471","0.03754145"
"3.89","-0.021808654","-0.07026686","2.8631146","0.03612289"
"3.9","-0.020963605","-0.07048067","2.863181","0.034717202"
"3.91","-0.020122042","-0.07068604","2.8632464","0.033324152"
"3.92","-0.019284002","-0.07088302","2.8633108","0.031944185"
"3.93","-0.018449407","-0.07107163","2.8633742","0.03057751"
"3.94","-0.01761831","-0.07125192","2.863437","0.029223084"
"3.95","-0.016790673","-0.07142391","2.8634987","0.027881056"
"3.96","-0.015966482","-0.07158765","2.8635597","0.026551723"
"3.97","-0.015145776","-0.07174316","2.86362","0.025234282"
"3.98","-0.014328478","-0.07189049","2.8636794","0.023929358"
"3.99","-0.013514653","-0.072029665","2.8637385","0.022636473"
"4.0","-0.012704213","-0.07216071","2.8637967","0.02135545"
"4.01","-0.011897185","-0.07228369","2.8638546","0.020086408"
"4.02","-0.011093713","-0.07239862","2.8639119","0.018828958"
"4.03","-0.010293533","-0.072505526","2.8639686","0.017583579"
"4.04","-0.009496814","-0.07260446","2.864025","0.016349465"
"4.05","-0.008703525","-0.07269545","2.864081","0.015127063"
"4.06","-0.007913676","-0.07277853","2.8641367","0.013916045"
"4.07","-0.0071271495","-0.07285373","2.864192","0.012716323"
"4.08","-0.006344181","-0.07292109","2.864247","0.011527687"
"4.09","-0.0055645104","-0.07298064","2.8643017","0.010350317"
"4.1","-0.004788295","-0.07303242","2.8643563","0.009184152"
"4.11","-0.004015456","-0.07307645","2.8644106","0.008028477"
"4.12","-0.003246044","-0.073112786","2.8644648","0.006884098"
"4.13","-0.0024801148","-0.07314145","2.864519","0.0057502985"
"4.14","-0.001717585","-0.073162474","2.8645728","0.004627794"
"4.15","-0.0009583948","-0.07317588","2.8646266","0.0035154521"
"4.16","-0.00020272876","-0.073181726","2.8646803","0.0024139285"
"4.17","0.00054945","-0.07318003","2.864734","0.0013229847"
"4.18","0.0012983494","-0.07317082","2.8647876","0.00024172664"
"4.19","0.0020435997","-0.07315415","2.8648415","-0.00082829595"
"4.2","0.0027854922","-0.07313004","2.864895","-0.0018884838"
"4.21","0.0035240545","-0.07309851","2.8649487","-0.002938658"
"4.22","0.004258866","-0.07305962","2.8650024","-0.003977716"
"4.23","0.004990343","-0.07301339","2.8650563","-0.0050075054"
"4.24","0.0057183234","-0.07295985","2.8651102","-0.0060271323"
"4.25","0.006442814","-0.07289905","2.8651643","-0.0070370436"
"4.26","0.007163827","-0.072831035","2.8652184","-0.008036792"
"4.27","0.0078813145","-0.07275584","2.8652728","-0.009026945"
"4.28","0.008595334","-0.07267349","2.8653274","-0.010007143"
"4.29","0.009305806","-0.07258404","2.865382","-0.010978073"
"4.3","0.010012783","-0.0724875","2.865437","-0.01193893"
"4.31","0.010716188","-0.072383925","2.865492","-0.012890279"
"4.32","0.011416075","-0.07227332","2.8655477","-0.013832629"
"4.33","0.012112363","-0.07215576","2.8656032","-0.014765173"
"4.34","0.012805107","-0.072031245","2.8656592","-0.01568827"
"4.35","0.013494227","-0.07189983","2.8657155","-0.016602367"
"4.36","0.01417978","-0.071761526","2.865772","-0.017506957"
"4.37","0.014861679","-0.071616404","2.8658288","-0.018402517"
"4.38","0.015539981","-0.07146447","2.865886","-0.019288898"
"4.39","0.016214604","-0.07130579","2.8659434","-0.02016589"
"4.4","0.016885607","-0.07114036","2.8660011","-0.021033943"
"4.41","0.017552905","-0.07096824","2.8660593","-0.021893114"
"4.42","0.018216547","-0.070789464","2.8661177","-0.022743434"
"4.43","0.018876458","-0.07060408","2.8661766","-0.023584574"
"4.44","0.019532684","-0.0704121","2.8662357","-0.024416983"
"4.45","0.020185161","-0.07021357","2.866295","-0.02524066"
"4.46","0.02083393","-0.070008524","2.8663552","-0.026055545"
